transaction_id,account_id,member_id,transaction_date,transaction_type,amount,merchant_category
1,1,1,5/19/22,Debit Card,-401.89,Other
2,1,1,5/9/22,Check,-171.68,Utilities
3,1,1,5/14/22,ATM Withdrawal,-40,Gas
4,1,1,5/19/22,Debit Card,-86.48,Gas
5,1,1,5/8/22,ACH Payment,-247.89,Retail
6,1,1,4/26/22,ACH Payment,-162.98,Grocery
7,1,1,5/1/22,ACH Payment,-36.02,Utilities
8,1,1,5/7/22,Transfer,117.43,Income
9,1,1,5/18/22,Debit Card,-117.58,Gas
10,1,1,5/19/22,ACH Payment,-110.37,Utilities
11,1,1,5/19/22,Debit Card,-233.5,Grocery
12,1,1,5/2/22,ACH Payment,-85.19,Grocery
13,1,1,5/4/22,Debit Card,-178.38,Entertainment
14,1,1,5/19/22,Direct Deposit,1398.97,Income
15,1,1,5/8/22,ACH Payment,-204.36,Restaurant
16,1,1,5/18/22,Debit Card,-113.15,Gas
17,1,1,5/16/22,Debit Card,-387.48,Grocery
18,1,1,5/12/22,Direct Deposit,820.39,Income
19,1,1,5/9/22,ACH Payment,-350.04,Other
20,1,1,5/7/22,Debit Card,-383.35,Other
21,1,1,5/21/22,ATM Withdrawal,-100,Utilities
22,1,1,5/11/22,ATM Withdrawal,-200,Gas
23,1,1,5/15/22,Debit Card,-438.83,Other
24,1,1,5/13/22,Debit Card,-497.21,Restaurant
25,1,1,5/17/22,ATM Withdrawal,-40,Restaurant
26,1,1,4/26/22,Debit Card,-466.79,Restaurant
27,1,1,5/14/22,Check,-188.47,Grocery
28,1,1,5/12/22,Check,173.27,Income
29,1,1,5/20/22,Debit Card,-497.1,Restaurant
30,1,1,5/1/22,ACH Payment,-79.05,Retail
31,1,1,5/17/22,Check,-140.58,Utilities
32,1,1,4/30/22,Debit Card,-392.19,Utilities
33,1,1,5/16/22,Direct Deposit,1511.75,Income
34,1,1,5/2/22,Debit Card,-310.26,Utilities
35,1,1,5/9/22,Direct Deposit,1579.31,Income
36,1,1,4/30/22,Direct Deposit,968.68,Income
37,1,1,6/19/22,Check,160.54,Income
38,1,1,6/18/22,Debit Card,-196.46,Restaurant
39,1,1,5/26/22,Debit Card,-187.35,Utilities
40,1,1,6/2/22,Debit Card,-404.58,Utilities
41,1,1,6/2/22,ACH Payment,-364.85,Grocery
42,1,1,6/5/22,Debit Card,-428.67,Other
43,1,1,6/19/22,Check,11.05,Income
44,1,1,6/8/22,Check,-154.97,Entertainment
45,1,1,6/18/22,Debit Card,-183.16,Restaurant
46,1,1,5/25/22,ACH Payment,-432.71,Gas
47,1,1,6/18/22,Direct Deposit,1020.74,Income
48,1,1,6/5/22,Debit Card,-152.66,Gas
49,1,1,6/14/22,Debit Card,-434.64,Entertainment
50,1,1,6/21/22,Debit Card,-451.17,Restaurant
51,1,1,6/16/22,Debit Card,-231.19,Other
52,1,1,5/29/22,Debit Card,-343.36,Other
53,1,1,6/21/22,Debit Card,-209.29,Restaurant
54,1,1,6/19/22,Debit Card,-169.67,Other
55,1,1,6/6/22,Check,64.07,Income
56,1,1,6/4/22,Debit Card,-27.06,Retail
57,1,1,5/25/22,ACH Payment,-223.53,Other
58,1,1,6/11/22,Check,-180.24,Gas
59,1,1,6/5/22,ATM Withdrawal,-100,Entertainment
60,1,1,6/10/22,ACH Payment,-141.1,Utilities
61,1,1,6/13/22,Debit Card,-36.63,Entertainment
62,1,1,6/7/22,Debit Card,-137.24,Grocery
63,1,1,6/13/22,Direct Deposit,1208.75,Income
64,1,1,6/11/22,Direct Deposit,1681.73,Income
65,1,1,6/3/22,ACH Payment,-298.21,Utilities
66,1,1,6/9/22,ATM Withdrawal,-200,Gas
67,1,1,6/12/22,ATM Withdrawal,-60,Gas
68,1,1,6/17/22,ACH Payment,-33.32,Restaurant
69,1,1,6/15/22,ACH Payment,-38.46,Gas
70,1,1,6/7/22,Check,-93.32,Entertainment
71,1,1,6/12/22,ATM Withdrawal,-60,Entertainment
72,1,1,6/5/22,Check,37.94,Income
73,1,1,6/2/22,ACH Payment,-175.9,Other
74,1,1,6/16/22,ATM Withdrawal,-200,Retail
75,1,1,6/22/22,Direct Deposit,883.35,Income
76,1,1,6/5/22,ACH Payment,-404.62,Grocery
77,1,1,6/1/22,Transfer,-45.64,Other
78,1,1,5/28/22,ACH Payment,-277.77,Entertainment
79,1,1,6/10/22,Check,-168.47,Retail
80,1,1,6/15/22,Transfer,143.72,Income
81,1,1,5/27/22,Direct Deposit,1597.42,Income
82,1,1,6/10/22,Transfer,128.66,Income
83,1,1,6/10/22,ATM Withdrawal,-60,Retail
84,1,1,6/9/22,ACH Payment,-190.84,Other
85,1,1,6/5/22,Debit Card,-398.53,Grocery
86,1,1,6/5/22,Debit Card,-86.94,Gas
87,1,1,5/30/22,ATM Withdrawal,-40,Other
88,1,1,5/25/22,ACH Payment,-452.32,Retail
89,1,1,6/5/22,Direct Deposit,1605.97,Income
90,1,1,5/30/22,Debit Card,-252.97,Other
91,1,1,5/30/22,Debit Card,-343.8,Restaurant
92,1,1,6/28/22,Debit Card,-25.13,Utilities
93,1,1,7/6/22,Check,175.32,Income
94,1,1,7/10/22,Transfer,113.19,Income
95,1,1,6/29/22,Debit Card,-240.56,Grocery
96,1,1,6/30/22,Debit Card,-377.03,Gas
97,1,1,7/13/22,ACH Payment,-162.34,Other
98,1,1,6/30/22,Check,-55.5,Restaurant
99,1,1,7/12/22,Debit Card,-292.78,Retail
100,1,1,7/3/22,ACH Payment,-375.28,Restaurant
101,1,1,6/25/22,Debit Card,-182.3,Restaurant
102,1,1,7/17/22,Debit Card,-310.9,Restaurant
103,1,1,7/22/22,Transfer,-198.59,Gas
104,1,1,6/28/22,Direct Deposit,887.44,Income
105,1,1,7/8/22,ACH Payment,-71.63,Other
106,1,1,7/6/22,Direct Deposit,1180.91,Income
107,1,1,6/25/22,Debit Card,-412.21,Utilities
108,1,1,7/7/22,ATM Withdrawal,-80,Retail
109,1,1,7/5/22,Debit Card,-239.67,Retail
110,1,1,7/18/22,Check,-34.74,Restaurant
111,1,1,6/25/22,Debit Card,-24.46,Entertainment
112,1,1,7/4/22,Direct Deposit,884.25,Income
113,1,1,7/15/22,Debit Card,-360.97,Restaurant
114,1,1,7/18/22,Direct Deposit,1311.33,Income
115,1,1,7/18/22,Debit Card,-293.11,Grocery
116,1,1,7/14/22,ACH Payment,-371.57,Other
117,1,1,7/21/22,Debit Card,-485.95,Gas
118,1,1,7/11/22,ATM Withdrawal,-60,Gas
119,1,1,7/11/22,ACH Payment,-395.77,Grocery
120,1,1,7/22/22,ACH Payment,-270.29,Entertainment
121,1,1,7/4/22,ACH Payment,-21.35,Gas
122,1,1,7/7/22,Debit Card,-428.44,Entertainment
123,1,1,7/1/22,Check,75.28,Income
124,1,1,7/8/22,ACH Payment,-114.93,Gas
125,1,1,6/26/22,Direct Deposit,1678.96,Income
126,1,1,7/8/22,Debit Card,-156.49,Utilities
127,1,1,7/2/22,Check,-48.64,Gas
128,1,1,7/18/22,Direct Deposit,893.46,Income
129,1,1,7/9/22,Check,-154.39,Grocery
130,1,1,7/12/22,Debit Card,-198.47,Retail
131,1,1,7/18/22,ACH Payment,-337.89,Utilities
132,1,1,6/28/22,ACH Payment,-178.41,Grocery
133,1,1,7/13/22,ACH Payment,-396.42,Retail
134,1,1,6/29/22,Direct Deposit,864.7,Income
135,1,1,7/17/22,Direct Deposit,1333.58,Income
136,1,1,7/30/22,Debit Card,-86.69,Gas
137,1,1,8/14/22,Direct Deposit,1707.68,Income
138,1,1,8/5/22,Check,80.45,Income
139,1,1,8/19/22,Debit Card,-327.85,Retail
140,1,1,8/9/22,Check,146.98,Income
141,1,1,8/3/22,ACH Payment,-363.05,Gas
142,1,1,7/25/22,ATM Withdrawal,-20,Retail
143,1,1,8/12/22,Direct Deposit,806.66,Income
144,1,1,8/9/22,Debit Card,-89.94,Utilities
145,1,1,7/29/22,Direct Deposit,998.8,Income
146,1,1,8/6/22,Debit Card,-471.19,Entertainment
147,1,1,7/28/22,ACH Payment,-207.79,Other
148,1,1,7/27/22,ACH Payment,-424.73,Utilities
149,1,1,8/6/22,ATM Withdrawal,-20,Utilities
150,1,1,8/14/22,ACH Payment,-352.37,Utilities
151,1,1,7/28/22,ACH Payment,-420.57,Other
152,1,1,7/25/22,ACH Payment,-459.77,Grocery
153,1,1,7/29/22,Debit Card,-288.3,Gas
154,1,1,7/26/22,ATM Withdrawal,-200,Grocery
155,1,1,8/13/22,Debit Card,-380.63,Grocery
156,1,1,8/7/22,Debit Card,-466.89,Other
157,1,1,7/28/22,Debit Card,-38.25,Gas
158,1,1,8/16/22,Direct Deposit,1442.84,Income
159,1,1,8/19/22,ACH Payment,-407.29,Utilities
160,1,1,8/16/22,Debit Card,-485.01,Restaurant
161,1,1,7/26/22,Direct Deposit,873.32,Income
162,1,1,8/1/22,Direct Deposit,1165.68,Income
163,1,1,8/13/22,Debit Card,-7.58,Retail
164,1,1,8/9/22,ATM Withdrawal,-80,Utilities
165,1,1,7/24/22,ATM Withdrawal,-40,Grocery
166,1,1,8/2/22,Direct Deposit,1742.14,Income
167,1,1,8/20/22,ACH Payment,-453.27,Retail
168,1,1,8/6/22,Debit Card,-123.52,Restaurant
169,1,1,8/3/22,Debit Card,-15.03,Other
170,1,1,8/21/22,Direct Deposit,892.56,Income
171,1,1,8/18/22,Debit Card,-251.05,Restaurant
172,1,1,7/24/22,ACH Payment,-213.46,Retail
173,1,1,8/19/22,Debit Card,-242.07,Grocery
174,1,1,7/29/22,Debit Card,-386.51,Other
175,1,1,8/12/22,Debit Card,-274.7,Other
176,1,1,8/12/22,ACH Payment,-172.31,Entertainment
177,1,1,8/19/22,Direct Deposit,1695.79,Income
178,1,1,8/12/22,Transfer,4.77,Income
179,1,1,7/27/22,ACH Payment,-451.24,Other
180,1,1,8/2/22,ACH Payment,-30.04,Entertainment
181,1,1,7/25/22,ATM Withdrawal,-20,Entertainment
182,1,1,8/18/22,ACH Payment,-388.54,Retail
183,1,1,8/18/22,ACH Payment,-94.92,Restaurant
184,1,1,8/16/22,ACH Payment,-202.22,Utilities
185,1,1,7/27/22,ACH Payment,-86.93,Entertainment
186,1,1,8/15/22,Debit Card,-47.56,Entertainment
187,1,1,7/30/22,Direct Deposit,1006.57,Income
188,1,1,8/16/22,ACH Payment,-326.59,Retail
189,1,1,8/30/22,Debit Card,-243.73,Retail
190,1,1,8/28/22,Debit Card,-167.55,Entertainment
191,1,1,9/7/22,Debit Card,-246.15,Grocery
192,1,1,8/23/22,Direct Deposit,1790.01,Income
193,1,1,9/11/22,Debit Card,-445.36,Entertainment
194,1,1,9/12/22,Direct Deposit,870.79,Income
195,1,1,8/26/22,ACH Payment,-113.72,Retail
196,1,1,9/4/22,Debit Card,-16.66,Utilities
197,1,1,9/9/22,Debit Card,-32.01,Restaurant
198,1,1,8/29/22,Direct Deposit,1701.94,Income
199,1,1,9/13/22,ACH Payment,-126.41,Other
200,1,1,9/1/22,ACH Payment,-283.32,Other
201,1,1,9/9/22,Debit Card,-297.71,Gas
202,1,1,8/31/22,Check,-24.53,Utilities
203,1,1,9/2/22,ACH Payment,-336.05,Entertainment
204,1,1,9/14/22,ACH Payment,-128.51,Retail
205,1,1,9/10/22,Debit Card,-104.5,Utilities
206,1,1,9/19/22,ACH Payment,-70.74,Entertainment
207,1,1,8/29/22,Direct Deposit,1140.21,Income
208,1,1,9/10/22,ATM Withdrawal,-200,Retail
209,1,1,9/19/22,ACH Payment,-81.7,Restaurant
210,1,1,8/26/22,Check,-42.34,Grocery
211,1,1,8/30/22,Debit Card,-284.55,Entertainment
212,1,1,9/10/22,Transfer,-194.3,Entertainment
213,1,1,9/2/22,ACH Payment,-252.95,Retail
214,1,1,9/17/22,ATM Withdrawal,-60,Restaurant
215,1,1,9/14/22,ACH Payment,-169.36,Entertainment
216,1,1,8/26/22,Direct Deposit,1096.86,Income
217,1,1,9/2/22,Debit Card,-495.34,Other
218,1,1,9/15/22,ATM Withdrawal,-20,Gas
219,1,1,9/13/22,ATM Withdrawal,-200,Entertainment
220,1,1,8/31/22,Direct Deposit,1212.93,Income
221,1,1,9/19/22,ACH Payment,-114.47,Other
222,1,1,9/19/22,ATM Withdrawal,-80,Entertainment
223,1,1,8/25/22,Debit Card,-90.68,Grocery
224,1,1,9/6/22,Debit Card,-415.57,Other
225,1,1,9/10/22,Check,116.45,Income
226,1,1,8/27/22,ATM Withdrawal,-60,Other
227,1,1,9/1/22,ACH Payment,-322.59,Other
228,1,1,9/13/22,Debit Card,-498.65,Grocery
229,1,1,8/27/22,Debit Card,-323.98,Entertainment
230,1,1,8/25/22,ATM Withdrawal,-60,Gas
231,1,1,9/11/22,Direct Deposit,853.43,Income
232,1,1,9/2/22,Debit Card,-248.19,Entertainment
233,1,1,8/26/22,Debit Card,-368.81,Utilities
234,1,1,8/26/22,ATM Withdrawal,-80,Restaurant
235,1,1,9/13/22,Check,177.86,Income
236,1,1,8/27/22,Transfer,79.79,Income
237,1,1,8/23/22,ACH Payment,-7.1,Restaurant
238,1,1,8/31/22,ACH Payment,-345.19,Restaurant
239,1,1,9/20/22,Direct Deposit,1266.28,Income
240,1,1,9/14/22,ACH Payment,-289.25,Grocery
241,1,1,9/16/22,Debit Card,-284.07,Entertainment
242,1,1,10/11/22,Debit Card,-304.18,Grocery
243,1,1,9/22/22,Transfer,-11.07,Gas
244,1,1,10/5/22,Transfer,-114.8,Retail
245,1,1,10/4/22,Debit Card,-42.12,Utilities
246,1,1,10/9/22,Check,18.74,Income
247,1,1,10/1/22,Debit Card,-211.57,Other
248,1,1,10/20/22,Debit Card,-370.42,Grocery
249,1,1,10/17/22,Debit Card,-263.76,Retail
250,1,1,10/14/22,ACH Payment,-102.09,Restaurant
251,1,1,10/19/22,ACH Payment,-312.31,Gas
252,1,1,9/27/22,Debit Card,-309.03,Entertainment
